THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
"He [Aristotle] added: There is a fourth type of question where discussion is possible and argument suitable. These questions encompass matters that are not altogether clear nor altogether obscure, and matters which cause no corruption to affairs of state.","قال: وها هنا مسألة رابعة فيها تقع المجادلة وعليها تسوغ المناظرة، وهي المسائل التي لم تظهر كل الظهور ولم تغمض كل الغموض ولم تورث فسادًا في الأمر السياسي."
,
"Observe may God fortify you those who deny medicine. You will find that they are blind to the brightness of the Sun and that they deny the break of dawn. They persist in their denial of medicine even though people, high and low, are witness to the benefit they get from doctors and to the successful results of most treatment.","فانظروا - أعزكم الله - إلى دافع الطب، فإنه يستر عين الشمس وينكر فلق الصبح، مع ما يشاهد العام والخاص من انتفاعهم بالأطباء ونجوع أكثر تلك المعالجات."
,
Observe also how the denigrator of the medical profession defies public policy by depriving people of its benefit and by preventing them from enjoying the comforts of life.,ثم انظروا إليه كيف يقدح في السياسة بما يحرم الناس من المنفعة ويردعهم عنه من مرافق الحياة
"Can there be anyone more in need of being granted [sound] feeling, or of being reprimanded as a criminal? From God we seek help.","فهل أحد أولى من هذا بأن يُدعى له بموهبة الحس، ويؤدَّب تأديب الجناة، والله المستعان."
,
"With regard to those who fear that medicine is an infringement of the will of God, the Almighty and Exalted, is it their duty then to refrain from eating when hungry and from drinking when thirsty?.","وأما الذين يتخوفون أن يكون الإقرار بوجود الطب مزاحمةً لله عز وجل فيما قضاه للعبد، فالواجب عليهم أن لا يأكلوا إذا جاعوا، ولا يشربوا إذا عطشوا"
"Perhaps God had ordained that they should perish from hunger and thirst and that, by eating or drinking, they would be going against His wishes and fulfilling their own!","فلعل الله أن يكون قد قضى لهم أن يهلكهم الجوعُ أو العطش، فإذا أكلوا أو شربوا فقد زاحموا الله في قضائه، وتوصلوا إلى أن يقع مرادهم دون مراده."
,
If you were to look closely at any therapy - may God protect you - you will find that it is like eating when hungry and drinking when thirsty.,"وليس من العلاجات علاج إذا تدبرته - حاطك الله - إلا شبيهًا بالأكل عند الجوع والشرب عن العطش،"
A person who is feverish is given a cool drink by his doctor and a person who feels cold is given something to give him warmth. while one who has constipation is given a laxative and one who has diarrhoea is given a constipating remedy.,"فإن الذي يحمى بدنه يأمره الطبيب بالتبريد، والذي يبرد يأمره بالتسخين، والذي ينعقل طبعه يأمره بالإطلاق، والذي يلين طبعه يأمره بالإمساك"
"Lay people’s knowledge of medicine is made up of fragments and of scattered bits of contradictory information, while a physician’s knowledge is a well-knit whole combining distinct parts.","غير أنَّ الذي يعرفه الجمهور من الطب هو أجزاء يسيرة وتفاريق منتشرة، والذي يعرفه الأطباء جمل مولفة وأبواب مصنفة."
,
"It should come as no surprise that my answer to those who deny the existence of medicine should be to abstain from food and drink when hungry and thirsty, for their beliefs will lead them to undertake even graver action.","ولا يُتعجب من إيجابي على هؤلاء أن يمسكوا عن الطعام والشراب إذا مسَّهم الجوع والعطش، فإن معتقدهم يحملهم على أن يفعلوا ما هو أعظم من هذا."
